competênciamov;região;uf;município;seção;subclasse;saldomovimentação;cbo2002ocupação;categoria;graudeinstrução;idade;horascontratuais;raçacor;sexo;tipoempregador;tipoestabelecimento;tipomovimentação;tipodedeficiência;indtrabintermitente;indtrabparcial;salário;tamestabjan;indicadoraprendiz;origemdainformação;competênciadec;competênciaexc;indicadordeexclusão;indicadordeforadoprazo
202001;2;29;291835;G;4724500;1;641010;101;7;44;44,00;6;1;0;1;20;0;0;0;1039,00;5;0;1;202001;202203;1;0
202001;2;22;221100;N;8121400;1;514120;101;7;35;44,00;3;3;0;1;20;0;0;0;1024,85;10;0;1;202001;202203;1;0
202001;2;29;292740;F;4211101;1;710215;101;7;41;44,00;3;1;0;1;20;0;0;0;1841,40;7;0;1;202001;202203;1;0
202001;3;33;330455;J;6319400;1;411010;101;7;40;5,00;1;1;0;1;20;0;0;0;149,00;5;0;1;202001;202203;1;0
202001;2;29;292740;F;4211101;1;715110;101;4;39;44,00;3;1;0;1;20;0;0;0;2041,60;7;0;1;202001;202203;1;0
202001;2;29;292740;F;4211101;1;717020;101;6;42;44,00;3;1;0;1;20;0;0;0;1126,40;7;0;1;202001;202203;1;0
202001;2;24;240810;G;4755502;1;252105;101;9;40;44,00;1;1;0;1;20;0;0;0;2500,00;2;0;1;202001;202203;1;0
202001;2;29;292740;F;4211101;1;717020;101;4;29;44,00;3;1;0;1;20;0;0;0;1126,40;7;0;1;202001;202203;1;0
202001;2;22;221100;N;8121400;1;782305;101;7;38;44,00;1;1;0;1;20;0;0;0;1137,10;10;0;1;202001;202203;1;0
202001;2;29;292740;G;4781400;1;354125;111;7;25;,00;6;3;0;1;20;0;1;0;1139,60;7;0;1;202001;202203;1;0
202001;3;35;354820;I;5590699;1;513315;107;2;38;39,00;1;3;0;1;20;0;0;0;1160,42;1;0;1;202001;202203;1;0
202001;2;22;221100;N;8121400;1;514120;101;7;42;44,00;3;3;0;1;10;0;0;0;1024,85;10;0;1;202001;202203;1;0
202001;2;22;221100;N;8121400;1;313105;101;7;36;44,00;3;3;0;1;20;0;0;0;1027,53;10;0;1;202001;202203;1;0
202001;4;42;421660;N;8291100;1;252305;101;9;25;40,00;1;3;0;1;20;0;0;0;1325,00;1;0;1;202001;202203;1;0
202001;1;11;110028;N;8211300;-1;514320;101;2;51;44,00;3;3;0;1;31;0;0;0;1196,43;10;0;1;202001;202203;1;0
202001;2;29;292740;F;4211101;1;953115;101;7;35;44,00;3;1;0;1;20;0;0;0;2500,00;7;0;1;202001;202203;1;0
202001;5;52;520870;S;9601701;-1;421125;101;7;24;1,00;3;3;0;1;90;0;0;0;,00;4;0;1;202001;202203;1;0
202001;2;29;292740;F;4211101;1;782305;101;7;26;44,00;3;1;0;1;20;0;0;0;2041,60;7;0;1;202001;202203;1;0
202001;3;35;355280;M;7500100;1;519305;101;8;21;44,00;3;1;0;1;20;0;0;0;1568,17;4;0;1;202001;202203;1;0
202001;2;21;211130;G;4755502;1;521110;101;6;24;44,00;3;1;0;1;20;0;0;0;1194,65;4;0;1;202002;202203;1;1
202001;2;29;292740;F;4211101;1;717020;101;5;27;44,00;3;1;0;1;20;0;0;0;1126,40;7;0;1;202001;202203;1;0
202001;3;35;354340;I;5611203;-1;123105;101;7;18;44,00;6;3;0;1;40;0;0;0;1361,00;3;0;1;202006;202203;1;1
202001;1;11;110028;N;8211300;-1;410105;101;7;38;44,00;6;3;0;1;31;0;0;0;2041,34;10;0;1;202001;202203;1;0
202001;2;29;292740;F;4211101;1;782305;101;7;41;44,00;3;1;0;1;20;0;0;0;2041,60;7;0;1;202001;202203;1;0
202001;2;29;292740;G;4781400;1;421125;111;7;33;,00;6;3;0;1;20;0;1;0;1139,60;7;0;1;202001;202203;1;0
202001;3;33;330455;I;5611201;-1;142335;101;7;31;44,00;6;3;0;1;40;0;0;0;1800,00;5;0;1;202003;202203;1;1
202001;3;35;350700;I;5611201;1;513435;101;7;25;44,00;1;3;0;1;20;0;0;0;1357,00;3;0;1;202001;202203;1;0
202001;2;26;261160;C;1099604;-1;641010;101;7;46;44,00;1;1;0;1;31;0;0;0;1152,00;4;0;1;202001;202203;1;0
202001;4;41;410480;I;5611202;1;421125;101;7;27;36,00;6;3;0;1;20;0;0;0;1251,00;2;0;1;202006;202203;1;1
202001;3;32;320240;G;4744099;1;521140;101;6;18;48,00;3;3;0;1;20;0;0;0;1143,00;2;0;1;202001;202203;1;0
202001;2;25;250750;G;4520005;1;519935;101;7;24;44,00;3;1;0;1;20;0;0;0;1039,00;1;0;1;202001;202203;1;0
202001;3;32;320240;G;4744099;1;521140;101;6;18;48,00;3;3;0;1;20;0;0;0;1143,00;2;0;1;202001;202203;1;0
202001;4;41;410690;C;2862300;1;411005;101;8;19;30,00;1;1;0;1;20;0;0;0;1039,17;7;0;1;202001;202203;1;0
202001;2;29;292740;G;4781400;1;354125;111;7;25;,00;3;3;0;1;20;0;1;0;5698,00;7;0;1;202002;202203;1;1
202001;2;29;292740;F;4211101;1;301110;101;4;47;44,00;3;1;0;1;20;0;0;0;1841,40;7;0;1;202001;202203;1;0
202001;4;42;420240;C;1351100;1;514320;101;5;37;44,00;3;1;0;1;20;0;0;0;1200,00;5;0;1;202001;202203;1;0
202001;3;33;330455;C;3314714;-1;723315;111;7;43;48,00;3;1;0;1;31;0;1;0;1636,80;6;0;1;202005;202203;1;1
202001;3;35;350760;M;6920601;1;413110;101;7;23;44,00;1;3;0;1;20;0;0;0;,01;2;0;1;202001;202203;1;0
202001;1;11;110010;I;5611201;1;513505;101;7;40;44,00;6;3;0;1;20;0;0;0;1128,00;3;0;1;202001;202203;1;0
202001;3;33;330455;G;4772500;1;521140;101;7;19;36,00;6;3;0;1;10;0;0;0;1246,00;1;0;1;202001;202203;1;0
202001;3;35;354340;G;4619200;1;717020;101;5;34;44,00;1;1;0;1;20;0;0;0;1513,92;4;0;1;202001;202203;1;0
202001;2;29;292740;F;4211101;1;717020;101;4;30;44,00;3;1;0;1;20;0;0;0;1126,40;7;0;1;202001;202203;1;0
202001;3;33;330330;S;9602501;1;422105;101;8;46;44,00;3;1;0;1;20;0;0;0;1283,73;1;0;1;202007;202203;1;1
202001;3;35;354100;L;6822600;1;411005;101;7;35;44,00;1;1;0;1;20;0;0;0;1200,00;1;0;1;202009;202203;1;1
202001;2;22;221100;N;8121400;1;422105;101;7;25;44,00;3;3;0;1;20;0;0;0;1036,43;10;0;1;202001;202203;1;0
202001;3;33;330455;S;9499500;1;413110;101;7;23;44,00;1;3;0;1;20;0;0;0;1500,00;1;0;1;202006;202203;1;1
202001;2;23;230730;G;4711301;1;521125;111;7;21;44,00;3;1;0;1;10;0;1;0;1050,00;7;0;1;202001;202203;1;0
202001;2;29;292740;S;9491000;1;411005;101;5;42;44,00;6;3;0;1;20;0;0;0;1200,00;1;0;1;202005;202203;1;1
202001;2;24;241210;F;4322301;-1;411005;101;7;27;44,00;3;3;0;4;31;0;0;0;1039,15;3;0;1;202001;202203;1;0
202001;5;51;510125;Q;8630504;1;322415;101;7;23;44,00;6;3;0;1;20;0;0;0;1039,00;1;0;1;202001;202203;1;0
202001;3;33;330455;J;6319400;1;411010;101;9;21;5,00;1;3;0;1;20;0;0;0;149,00;5;0;1;202001;202203;1;0
202001;3;35;355030;A;119909;1;622310;101;7;31;44,00;3;1;2;3;20;0;0;0;1357,22;99;0;1;202001;202203;1;0
202001;3;35;355030;G;4731800;-1;521135;101;7;48;44,00;1;1;0;1;40;0;0;0;1269,00;3;0;1;202001;202203;1;0
202001;3;35;355030;G;4771701;-1;414105;101;7;31;44,00;1;1;0;1;40;0;0;0;1360,00;4;0;1;202001;202203;1;0
202001;3;32;320520;P;8511200;1;331110;101;9;23;48,00;3;3;0;1;20;0;0;0;1103,80;4;0;1;202001;202203;1;0
202001;3;33;330455;P;8541400;-1;239405;101;9;28;48,00;2;1;0;1;31;0;0;0;1500,00;5;0;1;202001;202203;1;0
202001;4;43;431870;N;8230001;1;521140;101;7;55;44,00;2;1;0;1;20;0;0;0;1333,50;2;0;1;202003;202203;1;1
202001;3;35;355030;G;4731800;-1;521135;101;9;53;44,00;1;1;0;1;40;0;0;0;1269,00;3;0;1;202001;202203;1;0
202001;5;51;510340;G;4681803;1;632615;101;7;32;44,00;3;1;0;1;20;0;0;0;1110,00;1;0;1;202011;202203;1;1
202001;2;26;261160;K;6499999;-1;413225;101;10;58;30,00;1;1;0;1;60;0;0;0;8785,37;7;0;1;202001;202203;1;0
202001;2;29;292530;G;4784900;1;519110;101;6;32;44,00;3;1;0;1;20;0;0;0;1056,00;4;0;1;202001;202203;1;0
202001;1;11;110028;N;8211300;-1;514320;101;7;44;44,00;6;3;0;1;31;0;0;0;1196,43;10;0;1;202001;202203;1;0
202001;3;35;355030;A;115600;1;621005;101;4;37;44,00;1;1;2;3;20;0;0;0;1500,00;99;0;1;202001;202203;1;0
202001;3;35;355030;A;161003;1;621005;101;5;23;44,00;1;1;2;3;20;0;0;0;1290,00;99;0;1;202001;202203;1;0
202001;4;41;410180;F;4120400;1;715210;101;7;28;44,00;6;1;0;1;20;0;0;0;1776,00;2;0;1;202003;202203;1;1
202001;2;29;292740;F;4211101;1;717020;101;4;33;44,00;3;1;0;1;20;0;0;0;1126,40;7;0;1;202001;202203;1;0
202001;4;42;420910;Q;8630504;1;422110;101;7;26;44,00;1;3;0;1;20;0;0;0;1500,00;3;0;1;202001;202203;1;0
202001;3;35;355280;M;7500100;1;422105;101;7;21;44,00;3;3;0;1;20;0;0;0;1496,80;4;0;1;202001;202203;1;0
202001;4;42;421360;I;5611201;1;513505;101;7;33;44,00;6;3;0;1;20;0;0;0;1395,00;4;0;1;202006;202203;1;1
202001;1;13;130260;G;4712100;-1;521115;101;7;37;40,00;3;1;0;1;43;0;0;0;1128,15;7;0;1;202008;202203;1;1
202001;4;43;431337;H;5091201;1;715125;101;4;43;44,00;1;1;0;1;20;0;0;0;1729,86;1;0;1;202001;202203;1;0
202002;3;33;330455;S;9499500;1;331110;101;7;44;44,00;6;3;0;1;20;0;0;0;1286,80;1;0;1;202101;202203;1;1
202002;2;26;260680;H;4930203;1;715525;101;7;58;42,00;1;1;0;1;20;0;0;0;1479,72;2;0;1;202009;202203;1;1
202002;2;29;292740;F;4211101;1;717020;101;4;33;44,00;3;1;0;1;20;0;0;0;1126,40;7;0;1;202002;202203;1;0
202002;3;33;330455;M;6920601;-1;413105;101;9;34;40,00;1;3;0;1;40;0;0;0;2000,00;1;0;1;202002;202203;1;0
202002;3;31;315120;C;3314720;1;514325;101;7;26;48,00;3;1;0;1;20;0;0;0;1088,47;4;0;1;202002;202203;1;0
202002;2;29;292740;F;4321500;-1;422105;101;9;31;44,00;1;1;0;1;40;0;0;0;2359,69;10;0;1;202003;202203;1;1
202002;3;33;330420;G;4781400;-1;354125;101;7;24;44,00;3;3;0;1;31;0;0;0;1237,33;6;0;1;202004;202203;1;1
202002;3;31;310400;G;4744005;-1;422105;101;6;22;44,00;1;1;0;1;32;0;0;0;1075,00;5;0;1;202002;202203;1;0
202002;3;33;330455;S;9499500;1;331110;101;7;21;44,00;6;3;0;1;20;0;0;0;1286,80;2;0;1;202101;202203;1;1
202002;5;50;500270;P;8512100;1;332105;101;7;40;44,00;1;3;0;1;20;0;0;0;2396,10;2;0;1;202002;202203;1;0
202002;3;33;330455;S;9499500;1;331110;101;7;35;44,00;6;3;0;1;20;0;0;0;12860,80;2;0;1;202101;202203;1;1
202002;3;33;330630;M;7420001;1;766405;101;7;20;42,00;1;3;0;1;20;0;0;0;1045,00;1;0;1;202002;202203;1;0
202002;5;52;520450;N;8112500;-1;513405;101;7;19;44,00;1;3;0;1;43;0;0;0;1242,00;7;0;1;202002;202203;1;0
202002;1;15;150345;N;8219999;1;252305;101;9;24;44,00;6;3;0;1;20;0;0;0;1045,00;1;0;1;202003;202203;1;1
202002;1;13;130260;G;4789099;1;513205;101;7;47;44,00;6;1;0;1;20;0;0;0;1045,00;1;0;1;202005;202203;1;1
202002;3;35;351880;N;8220200;-1;422310;101;7;26;36,00;3;3;0;1;32;0;0;0;998,00;10;0;1;202002;202203;1;0
202002;5;52;520025;G;4744099;-1;521110;101;8;21;44,00;3;3;0;1;31;0;0;0;1255,00;4;0;1;202002;202203;1;0
202002;2;29;292740;F;4211101;1;782305;101;7;43;44,00;3;1;0;1;20;0;0;0;2041,60;7;0;1;202002;202203;1;0
202002;2;29;292740;F;4211101;1;414205;101;7;27;44,00;3;1;0;1;20;0;0;0;1841,40;7;0;1;202002;202203;1;0
202002;3;35;355030;G;4731800;-1;521135;101;7;38;44,00;1;1;0;1;40;0;0;0;1269,00;3;0;1;202002;202203;1;0
202002;3;33;330455;S;9499500;1;331110;101;6;19;44,00;6;3;0;1;20;0;0;0;1286,80;1;0;1;202101;202203;1;1
202002;3;33;330455;N;8121400;1;514320;101;5;57;44,00;3;3;0;1;20;0;0;0;1239,00;1;0;1;202010;202203;1;1
202002;3;33;330455;S;9499500;1;331110;101;7;27;44,00;6;3;0;1;20;0;0;0;1286,80;1;0;1;202101;202203;1;1
